,X,Experimental,Median,Lower Quantile (2.5%),Upper Quantile (97.5%)
0,1.0,0.72,0.7104956803929308,0.6884367510324036,0.7294568059471931
1,2.0,0.04,0.04950431960706924,0.030543194052806973,0.07156324896759647
2,3.0,0.22,0.22443777017291067,0.21873019870417845,0.229645934557319
3,4.0,0.02,0.015562229827089338,0.01035406544268096,0.021269801295821567
