,X,Experimental,Median,Lower Quantile (2.5%),Upper Quantile (97.5%)
0,10.0,0.0,0.07958589966193089,0.02659610321358919,0.13377259882138887
1,30.0,0.07623888182973317,0.08888411362820303,0.04800580321603985,0.12430740522847278
2,50.0,0.08386277001270648,0.08721443763624637,0.055180846130756515,0.11129219740027903
3,70.0,0.05972045743329098,0.08143888847121473,0.05685420432926557,0.10407061624792616
4,90.0,0.07623888182973317,0.07518791587097964,0.05392517971600618,0.09844733023709298
5,110.0,0.053367217280813214,0.06783361941737129,0.048752131092048824,0.09024262762711499
6,130.0,0.062261753494282084,0.06053010523105629,0.04364667120075229,0.08297263102320547
7,150.0,0.04066073697585769,0.053858257412797525,0.03772213339124788,0.0762131846955613
8,170.0,0.04955527318932656,0.048337025609437506,0.03326690724902059,0.06940867216253407
9,190.0,0.04955527318932656,0.04210060632647604,0.02839884796811768,0.06094023194897443
10,210.0,0.03303684879288437,0.03743183752285475,0.02384040315149276,0.05613234521247713
11,230.0,0.04955527318932656,0.03282219678536945,0.019843032839102416,0.05227535598418148
12,250.0,0.025412960609911054,0.028862381389871475,0.017175550912513875,0.04698389096797347
13,270.0,0.035578144853875476,0.02523924698473406,0.013663680674284903,0.042393559770148866
14,290.0,0.03176620076238882,0.022152283125830504,0.011268180024981934,0.037843070379878836
15,310.0,0.026683608640406607,0.019325097042508392,0.00954944623740184,0.0335704731004795
16,330.0,0.026683608640406607,0.016830446903282843,0.007339979058743534,0.030163039338683178
17,350.0,0.030495552731893267,0.01482451602888437,0.006293657365297665,0.027637313392570438
18,370.0,0.021601016518424398,0.012888587917158106,0.0051799166016217564,0.025940720741559623
19,390.0,0.015247776365946633,0.011275577654343423,0.003999560064124617,0.02334656419126997
20,410.0,0.026683608640406607,0.00971086059921607,0.0030405205400686505,0.02039932806938161
21,430.0,0.01905972045743329,0.008517052485480662,0.002151092080518599,0.01882269686650091
22,450.0,0.01905972045743329,0.007379200953740854,0.0017056884237993623,0.017432364753537596
23,470.0,0.01397712833545108,0.006392130525585343,0.0010937217269116348,0.01593789812056848
24,490.0,0.01397712833545108,0.005620395516293871,0.0007112970566506986,0.014100928827910687
25,510.0,0.0063532401524777635,0.004945730036054627,0.00042662969471783923,0.012377724455440402
26,530.0,0.01397712833545108,0.004326870491389782,0.0002474360064171083,0.012295477195860133
27,550.0,0.015247776365946633,0.0037442043681903767,0.00011006073624184604,0.010527799784327
28,570.0,0.008894536213468869,0.0032261394075082696,0.0,0.00975910809429043
29,590.0,0.015247776365946633,0.002772383090639603,0.0,0.00947115535679653
30,610.0,0.0,0.002459366135278151,0.0,0.00817300548755221
31,630.0,0.0,0.0020864654326227406,0.0,0.007598371975856255
32,650.0,0.0,0.0018565122290872338,0.0,0.007004262719064517
33,670.0,0.0,0.0016932865782583494,0.0,0.006386534226388455
34,690.0,0.0,0.00132586037241254,0.0,0.006058225391422884
35,710.0,0.0,0.0009357164827650058,0.0,0.005518337131365062
36,730.0,0.0,0.0005554660097201235,0.0,0.005215236955268575
37,750.0,0.0,0.0004467914595090395,0.0,0.0048427488313552945
38,770.0,0.0,0.0003626412022434023,0.0,0.004117964144854792
39,790.0,0.0,0.00026663179943553494,0.0,0.004191075108429158
40,810.0,0.0,0.00023037797301391156,0.0,0.003933531250680233
41,830.0,0.0,2.4960968039140264e-05,0.0,0.00337698704246116
42,850.0,0.0,0.0,0.0,0.003215432215840089
43,870.0,0.0,0.0,0.0,0.0028685044483875693
44,890.0,0.0,0.0,0.0,0.002960522503528284
45,910.0,0.0,0.0,0.0,0.002674061813061151
46,930.0,0.0,0.0,0.0,0.00258461741668738
47,950.0,0.0,0.0,0.0,0.00248620463672263
48,970.0,0.0,0.0,0.0,0.002216214512750122
49,990.0,0.0,0.0,0.0,0.0020498608908783044
50,1010.0,0.0,0.0,0.0,0.0019769804894208313
51,1030.0,0.0,0.0,0.0,0.00185695529964523
52,1050.0,0.0,0.0,0.0,0.0019678067251675184
53,1070.0,0.0,0.0,0.0,0.0018295840642846553
54,1090.0,0.0,0.0,0.0,0.001646600480903165
55,1110.0,0.0,0.0,0.0,0.0016975117156141904
56,1130.0,0.0,0.0,0.0,0.0015848964818970961
57,1150.0,0.0,0.0,0.0,0.0015258121514554457
58,1170.0,0.0,0.0,0.0,0.0013680495094210287
59,1190.0,0.0,0.0,0.0,0.001274005482932847
60,1210.0,0.0,0.0,0.0,0.0012621661438552468
61,1230.0,0.0,0.0,0.0,0.0005559441173747401
62,1250.0,0.0,0.0,0.0,0.0005365465930186167
63,1270.0,0.0,0.0,0.0,0.00029161075554844264
64,1290.0,0.0,0.0,0.0,0.00035941204768850623
65,1310.0,0.0,0.0,0.0,0.0002854207438663938
66,1330.0,0.0,0.0,0.0,0.00027202191959074974
67,1350.0,0.0,0.0,0.0,0.00010782830812355046
68,1370.0,0.0,0.0,0.0,0.0
69,1390.0,0.0,0.0,0.0,0.0
70,1410.0,0.0,0.0,0.0,0.0
71,1430.0,0.0,0.0,0.0,0.0
72,1450.0,0.0,0.0,0.0,0.0
73,1470.0,0.0,0.0,0.0,0.0
74,1490.0,0.0,0.0,0.0,0.0
